,match_id,First Innings,Second Innings,First Innings Score,Second Innings Score,Winner,Batting wins,Bowling wins
399,400,Kings XI Punjab,Kolkata Knight Riders,157,153.0,Kings XI Punjab,1,0
400,401,Delhi Daredevils,Royal Challengers Bangalore,152,152.0,T,0,0
401,402,Sunrisers Hyderabad,Pune Warriors,119,108.0,Sunrisers Hyderabad,1,0
402,403,Rajasthan Royals,Mumbai Indians,179,92.0,Rajasthan Royals,1,0
403,404,Chennai Super Kings,Delhi Daredevils,169,83.0,Chennai Super Kings,1,0
404,405,Kings XI Punjab,Sunrisers Hyderabad,123,127.0,Sunrisers Hyderabad,0,1
405,406,Kolkata Knight Riders,Chennai Super Kings,119,124.0,Chennai Super Kings,0,1
406,407,Rajasthan Royals,Royal Challengers Bangalore,117,123.0,Royal Challengers Bangalore,0,1
407,408,Mumbai Indians,Delhi Daredevils,161,165.0,Delhi Daredevils,0,1
408,409,Pune Warriors,Kings XI Punjab,185,186.0,Kings XI Punjab,0,1
409,410,Rajasthan Royals,Chennai Super Kings,185,186.0,Chennai Super Kings,0,1
410,411,Royal Challengers Bangalore,Pune Warriors,263,133.0,Royal Challengers Bangalore,1,0
411,412,Kings XI Punjab,Delhi Daredevils,171,164.0,Kings XI Punjab,1,0
412,413,Kolkata Knight Riders,Mumbai Indians,159,162.0,Mumbai Indians,0,1
413,414,Sunrisers Hyderabad,Chennai Super Kings,159,160.0,Chennai Super Kings,0,1
414,415,Kings XI Punjab,Kolkata Knight Riders,149,150.0,Kolkata Knight Riders,0,1
415,416,Sunrisers Hyderabad,Rajasthan Royals,144,146.0,Rajasthan Royals,0,1
416,417,Mumbai Indians,Royal Challengers Bangalore,194,136.0,Mumbai Indians,1,0
417,418,Chennai Super Kings,Kolkata Knight Riders,200,186.0,Chennai Super Kings,1,0
418,419,Delhi Daredevils,Pune Warriors,164,149.0,Delhi Daredevils,1,0
419,420,Royal Challengers Bangalore,Rajasthan Royals,171,173.0,Rajasthan Royals,0,1
420,421,Mumbai Indians,Kings XI Punjab,174,170.0,Mumbai Indians,1,0
421,422,Chennai Super Kings,Pune Warriors,164,127.0,Chennai Super Kings,1,0
422,423,Mumbai Indians,Sunrisers Hyderabad,129,130.0,Sunrisers Hyderabad,0,1
423,424,Kolkata Knight Riders,Delhi Daredevils,136,137.0,Delhi Daredevils,0,1
424,425,Chennai Super Kings,Kings XI Punjab,186,171.0,Chennai Super Kings,1,0
425,426,Royal Challengers Bangalore,Pune Warriors,187,170.0,Royal Challengers Bangalore,1,0
426,427,Rajasthan Royals,Kolkata Knight Riders,132,133.0,Kolkata Knight Riders,0,1
427,428,Delhi Daredevils,Sunrisers Hyderabad,80,81.0,Sunrisers Hyderabad,0,1
428,429,Royal Challengers Bangalore,Kings XI Punjab,174,176.0,Kings XI Punjab,0,1
429,430,Mumbai Indians,Chennai Super Kings,139,79.0,Mumbai Indians,1,0
430,431,Pune Warriors,Rajasthan Royals,178,182.0,Rajasthan Royals,0,1
431,432,Sunrisers Hyderabad,Royal Challengers Bangalore,161,162.0,Royal Challengers Bangalore,0,1
432,433,Delhi Daredevils,Rajasthan Royals,154,155.0,Rajasthan Royals,0,1
433,434,Mumbai Indians,Kolkata Knight Riders,170,105.0,Mumbai Indians,1,0
434,435,Chennai Super Kings,Sunrisers Hyderabad,223,146.0,Chennai Super Kings,1,0
435,436,Kings XI Punjab,Rajasthan Royals,145,147.0,Rajasthan Royals,0,1
436,437,Kolkata Knight Riders,Pune Warriors,152,106.0,Kolkata Knight Riders,1,0
437,438,Royal Challengers Bangalore,Delhi Daredevils,183,179.0,Royal Challengers Bangalore,1,0
438,439,Pune Warriors,Mumbai Indians,112,116.0,Mumbai Indians,0,1
439,440,Sunrisers Hyderabad,Kings XI Punjab,150,120.0,Sunrisers Hyderabad,1,0
440,441,Royal Challengers Bangalore,Kolkata Knight Riders,115,116.0,Kolkata Knight Riders,0,1
441,442,Chennai Super Kings,Rajasthan Royals,141,144.0,Rajasthan Royals,0,1
442,443,Delhi Daredevils,Kings XI Punjab,120,121.0,Kings XI Punjab,0,1
443,444,Sunrisers Hyderabad,Mumbai Indians,178,184.0,Mumbai Indians,0,1
444,445,Pune Warriors,Kolkata Knight Riders,170,163.0,Pune Warriors,1,0
445,446,Chennai Super Kings,Delhi Daredevils,168,135.0,Chennai Super Kings,1,0
446,447,Mumbai Indians,Rajasthan Royals,166,152.0,Mumbai Indians,1,0
447,448,Royal Challengers Bangalore,Kings XI Punjab,190,194.0,Kings XI Punjab,0,1
